EmployeeID,Age,Attrition,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1,51,Yes,Sales,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1,Y,11,8,0,1,6,1,0,0
2,31,Yes,Research & Development,1,Life Sciences,Female,1,Research Scientist,Single,41890,0,Y,23,8,1,6,3,5,1,4
3,32,No,Research & Development,4,Other,Male,4,Sales Executive,Married,193280,1,Y,15,8,3,5,2,5,0,3
4,38,No,Research & Development,5,Life Sciences,Male,3,Human Resources,Married,83210,3,Y,11,8,3,13,5,8,7,5
5,32,No,Research & Development,1,Medical,Male,1,Sales Executive,Single,23420,4,Y,12,8,2,9,2,6,0,4
6,46,No,Research & Development,3,Life Sciences,Female,4,Research Director,Married,40710,3,Y,13,8,0,28,5,7,7,7
7,28,Yes,Research & Development,2,Medical,Male,2,Sales Executive,Single,58130,2,Y,20,8,1,5,2,0,0,0
8,29,No,Research & Development,3,Life Sciences,Male,2,Sales Executive,Married,31430,2,Y,22,8,3,10,2,0,0,0
9,31,No,Research & Development,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0,Y,21,8,0,10,2,9,7,8
10,25,No,Research & Development,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1,Y,13,8,1,6,2,6,1,5
11,45,No,Research & Development,2,Medical,Male,2,Laboratory Technician,Married,79910,0,Y,13,8,2,21,2,20,4,10
12,36,No,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0,Y,12,8,2,16,2,15,10,11
13,55,No,Research & Development,4,Life Sciences,Female,1,Sales Executive,Single,55380,0,Y,17,8,0,37,2,36,4,13
14,47,Yes,Research & Development,1,Medical,Male,1,Research Scientist,Married,57620,1,Y,11,8,2,10,4,10,9,9
15,28,No,Research & Development,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1,Y,14,8,0,5,2,5,0,4
16,37,No,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4,Y,11,8,0,7,2,5,0,1
17,21,No,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1,Y,12,8,3,3,3,3,1,0
18,37,No,Research & Development,3,Medical,Male,2,Sales Executive,Divorced,41270,2,Y,13,8,1,15,2,5,0,2
19,35,No,Sales,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7,Y,16,8,0,10,5,7,6,2
20,38,No,Research & Development,3,Life Sciences,Female,1,Manager,Divorced,68700,1,Y,11,8,1,8,5,8,7,7
21,26,No,Research & Development,4,Other,Male,2,Laboratory Technician,Divorced,104470,1,Y,18,8,0,6,3,6,1,4
22,50,No,Sales,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3,Y,23,8,0,28,2,10,1,6
23,53,No,Research & Development,4,Life Sciences,Female,2,Research Scientist,Married,21480,3,Y,11,8,0,21,2,5,1,3
24,42,No,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1,Y,14,8,0,NA,4,20,11,6
25,29,No,Research & Development,4,Medical,Male,1,Laboratory Technician,Single,65130,1,Y,11,8,1,10,2,10,0,9
26,55,No,Research & Development,4,Other,Female,1,Research Scientist,Married,67990,3,Y,11,8,0,12,2,10,0,8
27,26,No,Research & Development,3,Life Sciences,Female,1,Manager,Married,162910,1,Y,22,8,0,5,3,5,3,3
28,37,No,Sales,1,Marketing,Male,1,Research Scientist,Single,27050,1,Y,11,8,0,17,2,17,5,7
29,44,Yes,Research & Development,2,Medical,Male,2,Research Scientist,Divorced,103330,3,Y,14,8,1,19,2,1,0,0
30,38,No,Sales,3,Marketing,Female,1,Manager,Divorced,44480,9,Y,12,8,0,10,3,2,1,2
31,26,Yes,Research & Development,3,Medical,Male,3,Research Scientist,Divorced,68540,2,Y,11,8,0,5,5,3,0,2
32,28,No,Research & Development,3,Other,Male,1,Human Resources,Single,96370,1,Y,13,8,0,5,6,5,0,2
33,49,No,Research & Development,1,Medical,Female,2,Research Scientist,Single,35910,9,Y,13,8,0,22,2,3,1,2
34,36,No,Sales,3,Technical Degree,Male,3,Sales Executive,Single,54050,4,Y,14,8,0,10,2,8,7,7
35,31,No,Research & Development,4,Medical,Male,1,Sales Executive,Divorced,46840,1,Y,16,8,1,2,4,2,2,2
36,26,Yes,Research & Development,3,Medical,Male,2,Manager,Single,157870,1,Y,12,8,2,8,5,8,7,4
37,37,No,Sales,1,Marketing,Male,1,Laboratory Technician,Married,15140,1,Y,14,8,0,4,3,4,1,2
38,42,No,Sales,2,Marketing,Male,3,Research Director,Married,29560,5,Y,13,8,0,23,2,20,4,8
39,18,Yes,Research & Development,4,Life Sciences,Male,1,Sales Executive,Single,23350,1,Y,14,8,2,0,3,0,0,0
40,35,No,Sales,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0,Y,19,8,0,12,2,11,6,9
41,36,No,Research & Development,3,Other,Female,3,Sales Executive,Married,69620,4,Y,12,8,2,4,2,1,0,0
42,51,No,Research & Development,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5,Y,13,8,0,13,2,4,1,2
43,41,No,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1,Y,12,8,0,22,6,22,0,4
44,18,No,Sales,3,Life Sciences,Male,1,Research Scientist,Single,38120,1,Y,15,8,0,0,3,0,0,0
45,28,No,Research & Development,3,Medical,Male,1,Sales Representative,Single,46480,0,Y,23,8,2,9,2,8,0,7
46,31,No,Research & Development,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4,Y,12,8,1,10,2,8,7,7
47,39,No,Sales,4,Marketing,Female,2,Human Resources,Divorced,21050,0,Y,20,8,0,19,3,18,3,7
48,36,No,Research & Development,4,Life Sciences,Male,1,Sales Executive,Married,85780,7,Y,21,8,0,11,4,9,0,8
49,32,No,Sales,3,Marketing,Male,2,Laboratory Technician,Married,27060,1,Y,21,8,1,13,4,13,4,8
50,38,No,Research & Development,2,Life Sciences,Female,3,Research Scientist,Married,63840,3,Y,19,8,2,19,4,10,0,1
51,58,No,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2,Y,13,8,2,12,3,5,1,2
52,31,No,Research & Development,1,Technical Degree,Female,3,Research Scientist,Married,99070,0,Y,13,8,1,6,3,5,0,3
53,31,No,Sales,4,Marketing,Male,2,Sales Executive,Married,132250,3,Y,21,8,1,9,2,2,1,0
54,45,No,Research & Development,1,Medical,Female,1,Sales Executive,Divorced,35400,1,Y,13,8,0,24,6,24,9,11
55,31,No,Sales,4,Marketing,Female,2,Research Scientist,Divorced,28040,0,Y,19,8,2,3,0,2,2,2
56,33,No,Research & Development,3,Life Sciences,Male,4,Research Director,Married,193920,6,Y,12,8,1,12,3,10,8,8
57,39,No,Sales,4,Life Sciences,Male,1,Sales Executive,Married,196650,1,Y,22,8,1,21,6,21,11,10
58,43,No,Research & Development,4,Medical,Male,4,Research Scientist,Single,24390,0,Y,15,8,0,9,2,8,1,7
59,49,No,Research & Development,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7,Y,22,8,0,25,2,7,0,7
60,52,Yes,Research & Development,1,Life Sciences,Female,2,Research Scientist,Married,47740,2,Y,18,8,1,11,2,8,7,7
61,27,No,Research & Development,4,Medical,Male,3,Research Scientist,Single,39020,1,Y,22,8,0,4,2,4,1,2
62,32,No,Research & Development,3,Life Sciences,Male,3,Research Scientist,Married,26620,1,Y,11,8,1,13,6,13,11,9
63,27,No,Research & Development,2,Medical,Female,4,Research Director,Single,28560,1,Y,12,8,2,5,5,5,0,4
64,31,No,Sales,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7
65,32,No,Research & Development,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7,Y,13,8,0,10,2,7,0,7
66,28,Yes,Research & Development,4,Medical,Male,1,Sales Executive,Married,56730,5,Y,14,8,1,5,4,3,2,2
67,30,No,Research & Development,3,Life Sciences,Female,4,Research Director,Married,41970,1,Y,13,8,0,11,3,10,1,9
68,31,No,Research & Development,1,Life Sciences,Female,1,Manager,Married,97130,1,Y,17,8,0,10,5,10,8,9
69,39,No,Research & Development,4,Medical,Female,1,Research Scientist,Married,20620,1,Y,13,8,0,21,4,21,13,3
70,39,Yes,Research & Development,1,Medical,Female,1,Laboratory Technician,Married,42840,4,Y,17,8,1,12,0,1,0,0
71,33,No,Sales,2,Life Sciences,Male,4,Research Scientist,Single,47880,3,Y,11,8,1,9,0,7,0,1
72,47,No,Research & Development,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4,Y,23,8,0,21,4,3,1,1
73,43,No,Research & Development,3,Medical,Female,5,Research Director,Divorced,38860,1,Y,17,8,2,9,2,9,0,0
74,27,No,Research & Development,3,Life Sciences,Male,1,Research Director,Married,168230,0,Y,17,8,0,6,3,5,1,4
75,54,No,Research & Development,4,Life Sciences,Male,2,Research Scientist,Single,29330,3,Y,12,8,2,20,2,4,0,3
76,43,No,Research & Development,2,Life Sciences,Female,2,Manager,Married,65000,8,Y,23,8,0,10,3,1,0,0
77,45,No,Sales,1,Marketing,Female,1,Sales Executive,Married,171740,9,Y,14,8,1,12,6,10,9,8
78,40,No,Research & Development,4,Other,Male,4,Research Scientist,Married,50330,2,Y,14,8,2,6,6,4,0,2
79,29,Yes,Research & Development,3,Medical,Female,1,Research Scientist,Married,23070,1,Y,13,8,1,7,0,7,0,7
80,29,No,Human Resources,3,Medical,Male,3,Sales Representative,Single,25870,0,Y,22,8,2,4,3,3,2,2
81,30,No,Research & Development,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1,Y,12,8,2,10,2,10,1,2
82,27,No,Research & Development,2,Medical,Male,1,Manager,Married,43930,1,Y,18,8,1,8,2,8,0,7
83,37,No,Sales,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7,Y,14,8,0,8,4,6,0,4
84,38,No,Research & Development,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0,Y,12,8,0,12,1,11,2,9
85,31,No,Research & Development,3,Medical,Female,3,Manager,Single,81030,1,Y,15,8,1,11,5,11,4,10
