BusinessTravel,DistanceFromHome,EmployeeCount,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PerformanceRating,EmployeeID
Travel_Rarely,6,1,3,4,2,3,1
Travel_Frequently,10,1,3,2,4,4,2
Travel_Frequently,17,1,2,2,1,3,3
Non-Travel,2,1,4,4,3,3,4
Travel_Rarely,10,1,4,1,3,3,5
Travel_Rarely,8,1,3,2,2,3,6
Travel_Rarely,11,1,1,3,1,4,7
Travel_Rarely,18,1,1,2,3,4,8
Travel_Rarely,1,1,2,4,3,4,9
Non-Travel,7,1,2,1,3,3,10
Travel_Rarely,17,1,3,4,3,3,11
Travel_Rarely,28,1,NA,4,3,3,12
Travel_Rarely,14,1,4,1,3,3,13
Non-Travel,1,1,1,2,2,3,14
Travel_Rarely,1,1,4,4,2,3,15
Travel_Rarely,1,1,3,4,4,3,16
Travel_Rarely,3,1,4,3,4,3,17
Non-Travel,1,1,1,4,3,3,18
Travel_Rarely,7,1,2,2,2,3,19
Travel_Rarely,8,1,1,1,3,3,20
Travel_Frequently,1,1,3,2,1,3,21
Travel_Rarely,8,1,1,2,2,4,22
Travel_Rarely,11,1,3,3,2,3,23
Travel_Rarely,4,1,2,3,3,3,24
Travel_Frequently,16,1,2,4,2,3,25
Travel_Rarely,1,1,2,4,3,3,26
Travel_Frequently,9,1,1,1,3,4,27
Travel_Rarely,5,1,4,4,3,3,28
Travel_Frequently,1,1,4,3,1,3,29
Travel_Rarely,2,1,4,4,3,3,30
Travel_Rarely,4,1,1,2,3,3,31
Travel_Rarely,7,1,4,4,3,3,32
Travel_Frequently,1,1,3,1,3,3,33
Travel_Rarely,5,1,3,2,3,3,34
Travel_Frequently,9,1,4,2,2,3,35
Travel_Rarely,8,1,4,4,3,3,36
Travel_Frequently,9,1,2,4,2,3,37
Travel_Frequently,2,1,3,2,4,3,38
Travel_Rarely,1,1,3,3,3,3,39
Travel_Rarely,20,1,3,2,2,3,40
Travel_Frequently,8,1,3,NA,3,3,41
Travel_Rarely,2,1,4,2,3,3,42
Travel_Rarely,29,1,4,2,3,3,43
Travel_Rarely,7,1,4,3,3,3,44
Travel_Rarely,9,1,2,1,3,4,45
Travel_Rarely,8,1,2,4,2,3,46
Travel_Rarely,5,1,3,4,2,4,47
Non-Travel,5,1,2,2,3,4,48
Travel_Rarely,2,1,4,3,2,4,49
Travel_Rarely,5,1,1,2,3,3,50
Non-Travel,2,1,4,3,3,3,51
Travel_Rarely,20,1,3,4,3,3,52
Travel_Rarely,7,1,1,1,3,4,53
